game_id,opponent,segment,predicted_revenue,sellout_probability,priority,recommendation
27,LAL,Premium Demand,2801696.702638352,0.7274106004247257,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment.
28,SAS,Inventory Risk,1733823.4847014467,0.5578483705028919,Medium,Increase marketing spend and improve checkout conversion. Investigate checkout abandonment.
29,MIL,Inventory Risk,1988692.702249236,0.5709767662379117,Medium,Increase marketing spend and improve checkout conversion. Investigate checkout abandonment.
30,DEN,Premium Demand,2534450.8041256494,0.6864368124994797,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment.
31,SAS,Promotion Opportunity,1596662.1073131752,0.5075976559315801,Medium,Launch targeted promotions such as Student Night or Family Pack. Investigate checkout abandonment.
32,MIA,Promotion Opportunity,1839158.7873799824,0.5894260073912228,Medium,Launch targeted promotions such as Student Night or Family Pack. Investigate checkout abandonment.
33,LAL,Premium Demand,2340008.6989096995,0.6303580067034579,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment.
34,OKC,Premium Demand,2430084.592168572,0.6757718763203123,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment.
35,OKC,Inventory Risk,1924663.7165987534,0.584515965925623,Medium,Increase marketing spend and improve checkout conversion. Investigate checkout abandonment.
36,MIL,Inventory Risk,1951472.0183591726,0.6022105212991926,Medium,Increase marketing spend and improve checkout conversion. Investigate checkout abandonment.
37,SAS,Promotion Opportunity,1570273.4076150064,0.5378025440602379,Medium,Launch targeted promotions such as Student Night or Family Pack. Investigate checkout abandonment.
38,SAS,Inventory Risk,1791569.96941777,0.5778791645873315,Medium,Increase marketing spend and improve checkout conversion. Investigate checkout abandonment.
39,BOS,Premium Demand,2703118.4690078706,0.7023072537697714,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment.
40,SAS,Promotion Opportunity,1419189.160682118,0.5136339182567359,Medium,Launch targeted promotions such as Student Night or Family Pack. Investigate checkout abandonment.
41,PHX,Premium Demand,2442864.7458206736,0.6883740416220073,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment.
